reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,710124,NORTHERN INSTITUTIONAL FUNDS,NORTHERN INSTITUTIONAL TREASURY PORTFOLIO,S000023949,Exempt Government,PREMIER SHARES,C000070154,"Northern Trust Investments, Inc.",NTPXX,
31-Oct-17,949881,TD Asset Management USA Funds Inc.,TD Institutional Treasury Obligations Money Market Fund,S000024031,Treasury,Institutional Service Class,C000070238,TDAM USA INC,TDVXX,
31-Oct-17,949881,TD Asset Management USA Funds Inc.,TD Institutional Treasury Obligations Money Market Fund,S000024031,Treasury,Commercial Class,C000070239,TDAM USA INC,TTCXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Administrative Class,C000072053,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,PGOXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Class M,C000072055,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,PGFXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Class P,C000072056,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,PGPXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Class A,C000075263,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,AMAXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Class C,C000075264,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,AMGXX,
31-Oct-17,810893,PIMCO FUNDS,PIMCO Government Money Market Fund,S000024337,Exempt Government,Institutional Class,C000169180,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,PGYXX,
31-Oct-17,1072962,WADDELL & REED ADVISORS FUNDS,Waddell & Reed Advisors Cash Management,S000024816,Prime,Class A,C000073830,Waddell & Reed Investment Management Company,UNCXX,
31-Oct-17,1072962,WADDELL & REED ADVISORS FUNDS,Waddell & Reed Advisors Cash Management,S000024816,Prime,Class B,C000073831,Waddell & Reed Investment Management Company,WCBXX,
31-Oct-17,1072962,WADDELL & REED ADVISORS FUNDS,Waddell & Reed Advisors Cash Management,S000024816,Prime,Class C,C000073832,Waddell & Reed Investment Management Company,WCCXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class A,C000075886,Capital Research and Management Company,AFAXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class 529-F-1,C000075887,Capital Research and Management Company,FARXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-1,C000075888,Capital Research and Management Company,RAAXX,
